Date,Centre_Name,Commodity_Name,Price
07-01-09,AGARTALA,Wheat,NA
07-01-09,BENGALURU,Wheat,NA
07-01-09,T.PURAM,Wheat,NA
07-01-09,CHENNAI,Wheat,1540
07-01-09,HYDERABAD,Wheat,NA
09-01-09,CHANDIGARH,Wheat,NA
09-01-09,DELHI,Wheat,1140
09-01-09,SHIMLA,Wheat,NA
09-01-09,SRINAGAR,Wheat,NA
09-01-09,JAMMU,Wheat,NA
09-01-09,AMRITSAR,Wheat,NA
09-01-09,LUDHIANA,Wheat,NA
09-01-09,LUCKNOW,Wheat,NA
09-01-09,DEHRADUN,Wheat,NA
09-01-09,RAIPUR,Wheat,NA
09-01-09,AHMEDABAD,Wheat,NA
09-01-09,BHOPAL,Wheat,NA
09-01-09,MUMBAI,Wheat,NA
09-01-09,JAIPUR,Wheat,NA
09-01-09,PATNA,Wheat,NA
09-01-09,RANCHI,Wheat,NA
09-01-09,BHUBANESHWAR,Wheat,1220
09-01-09,KOLKATA,Wheat,NA
09-01-09,GUWAHATI,Wheat,NA
09-01-09,SHILLONG,Wheat,NA
09-01-09,AIZWAL,Wheat,NA
09-01-09,KOHIMA,Wheat,NA
09-01-09,AGARTALA,Wheat,NA
09-01-09,BENGALURU,Wheat,1700
09-01-09,T.PURAM,Wheat,NA
09-01-09,CHENNAI,Wheat,1540
09-01-09,HYDERABAD,Wheat,NA
12-01-09,CHANDIGARH,Wheat,NA
12-01-09,DELHI,Wheat,1140
12-01-09,SHIMLA,Wheat,NA
12-01-09,SRINAGAR,Wheat,NA
12-01-09,JAMMU,Wheat,NA
12-01-09,AMRITSAR,Wheat,NA
12-01-09,LUDHIANA,Wheat,NA
12-01-09,LUCKNOW,Wheat,NA
12-01-09,DEHRADUN,Wheat,NA
12-01-09,RAIPUR,Wheat,NA
12-01-09,AHMEDABAD,Wheat,NA
12-01-09,BHOPAL,Wheat,NA
12-01-09,MUMBAI,Wheat,NA
12-01-09,JAIPUR,Wheat,NA
12-01-09,PATNA,Wheat,NA
12-01-09,RANCHI,Wheat,NA
12-01-09,BHUBANESHWAR,Wheat,1220
12-01-09,KOLKATA,Wheat,NA
12-01-09,GUWAHATI,Wheat,NA
12-01-09,SHILLONG,Wheat,NA
12-01-09,AIZWAL,Wheat,NA
12-01-09,KOHIMA,Wheat,NA
12-01-09,AGARTALA,Wheat,NA
12-01-09,BENGALURU,Wheat,1700
12-01-09,T.PURAM,Wheat,NA
12-01-09,CHENNAI,Wheat,1540
12-01-09,HYDERABAD,Wheat,NA
13-01-09,CHANDIGARH,Wheat,NA
13-01-09,DELHI,Wheat,1160
13-01-09,SHIMLA,Wheat,NA
13-01-09,SRINAGAR,Wheat,NA
13-01-09,JAMMU,Wheat,NA
13-01-09,AMRITSAR,Wheat,NA
13-01-09,LUDHIANA,Wheat,NA
13-01-09,LUCKNOW,Wheat,NA
13-01-09,DEHRADUN,Wheat,NA
13-01-09,RAIPUR,Wheat,NA
13-01-09,AHMEDABAD,Wheat,NA
13-01-09,BHOPAL,Wheat,NA
13-01-09,MUMBAI,Wheat,NA
13-01-09,JAIPUR,Wheat,NA
13-01-09,PATNA,Wheat,NA
13-01-09,RANCHI,Wheat,NA
13-01-09,BHUBANESHWAR,Wheat,NA
13-01-09,KOLKATA,Wheat,NA
13-01-09,GUWAHATI,Wheat,NA
13-01-09,SHILLONG,Wheat,NA
13-01-09,AIZWAL,Wheat,NA
13-01-09,KOHIMA,Wheat,NA
13-01-09,AGARTALA,Wheat,NA
13-01-09,BENGALURU,Wheat,NA
13-01-09,T.PURAM,Wheat,NA
13-01-09,CHENNAI,Wheat,NA
13-01-09,HYDERABAD,Wheat,NA
14-01-09,CHANDIGARH,Wheat,NA
14-01-09,DELHI,Wheat,1160
14-01-09,SHIMLA,Wheat,NA
14-01-09,SRINAGAR,Wheat,NA
14-01-09,JAMMU,Wheat,NA
14-01-09,AMRITSAR,Wheat,NA
14-01-09,LUDHIANA,Wheat,NA
14-01-09,LUCKNOW,Wheat,NA
14-01-09,DEHRADUN,Wheat,NA
14-01-09,RAIPUR,Wheat,NA
14-01-09,AHMEDABAD,Wheat,NA
14-01-09,BHOPAL,Wheat,NA
14-01-09,MUMBAI,Wheat,NA
14-01-09,JAIPUR,Wheat,NA
14-01-09,PATNA,Wheat,NA
14-01-09,RANCHI,Wheat,NA
14-01-09,BHUBANESHWAR,Wheat,1220
14-01-09,KOLKATA,Wheat,NA
14-01-09,GUWAHATI,Wheat,NA
14-01-09,SHILLONG,Wheat,NA
14-01-09,AIZWAL,Wheat,NA
14-01-09,KOHIMA,Wheat,NA
14-01-09,AGARTALA,Wheat,NA
14-01-09,BENGALURU,Wheat,NA
14-01-09,T.PURAM,Wheat,NA
14-01-09,CHENNAI,Wheat,NA
14-01-09,HYDERABAD,Wheat,NA
15-01-09,CHANDIGARH,Wheat,NA
15-01-09,DELHI,Wheat,1160
15-01-09,SHIMLA,Wheat,NA
15-01-09,SRINAGAR,Wheat,NA
15-01-09,JAMMU,Wheat,NA
15-01-09,AMRITSAR,Wheat,NA
15-01-09,LUDHIANA,Wheat,NA
15-01-09,LUCKNOW,Wheat,NA
15-01-09,DEHRADUN,Wheat,NA
15-01-09,RAIPUR,Wheat,NA
15-01-09,AHMEDABAD,Wheat,NA
15-01-09,BHOPAL,Wheat,NA
15-01-09,MUMBAI,Wheat,NA
15-01-09,JAIPUR,Wheat,1200
15-01-09,PATNA,Wheat,NA
15-01-09,RANCHI,Wheat,NA
15-01-09,BHUBANESHWAR,Wheat,NA
15-01-09,KOLKATA,Wheat,NA
15-01-09,GUWAHATI,Wheat,NA
15-01-09,SHILLONG,Wheat,NA
15-01-09,AIZWAL,Wheat,NA
15-01-09,KOHIMA,Wheat,NA
15-01-09,AGARTALA,Wheat,NA
15-01-09,BENGALURU,Wheat,1700
15-01-09,T.PURAM,Wheat,NA
15-01-09,CHENNAI,Wheat,NA
15-01-09,HYDERABAD,Wheat,NA
16-01-09,CHANDIGARH,Wheat,NA
16-01-09,DELHI,Wheat,1180
16-01-09,SHIMLA,Wheat,NA
16-01-09,SRINAGAR,Wheat,NA
16-01-09,JAMMU,Wheat,NA
16-01-09,AMRITSAR,Wheat,NA
16-01-09,LUDHIANA,Wheat,NA
16-01-09,LUCKNOW,Wheat,NA
16-01-09,DEHRADUN,Wheat,NA
16-01-09,RAIPUR,Wheat,NA
16-01-09,AHMEDABAD,Wheat,NA
16-01-09,BHOPAL,Wheat,NA
16-01-09,MUMBAI,Wheat,NA
16-01-09,JAIPUR,Wheat,1200
16-01-09,PATNA,Wheat,NA
16-01-09,RANCHI,Wheat,NA
16-01-09,BHUBANESHWAR,Wheat,1220
16-01-09,KOLKATA,Wheat,NA
16-01-09,GUWAHATI,Wheat,NA
16-01-09,SHILLONG,Wheat,NA
16-01-09,AIZWAL,Wheat,NA
16-01-09,KOHIMA,Wheat,NA
16-01-09,AGARTALA,Wheat,NA
16-01-09,BENGALURU,Wheat,NA
16-01-09,T.PURAM,Wheat,NA
16-01-09,CHENNAI,Wheat,NA
16-01-09,HYDERABAD,Wheat,NA
19-01-09,CHANDIGARH,Wheat,NA
19-01-09,DELHI,Wheat,1180
19-01-09,SHIMLA,Wheat,NA
19-01-09,SRINAGAR,Wheat,NA
19-01-09,JAMMU,Wheat,NA
19-01-09,AMRITSAR,Wheat,NA
19-01-09,LUDHIANA,Wheat,NA
19-01-09,LUCKNOW,Wheat,NA
19-01-09,DEHRADUN,Wheat,NA
19-01-09,RAIPUR,Wheat,NA
19-01-09,AHMEDABAD,Wheat,NA
19-01-09,BHOPAL,Wheat,NA
19-01-09,MUMBAI,Wheat,NA
19-01-09,JAIPUR,Wheat,1200
19-01-09,PATNA,Wheat,NA
19-01-09,RANCHI,Wheat,NA
19-01-09,BHUBANESHWAR,Wheat,1220
19-01-09,KOLKATA,Wheat,NA
19-01-09,GUWAHATI,Wheat,NA
19-01-09,SHILLONG,Wheat,NA
19-01-09,AIZWAL,Wheat,NA
19-01-09,KOHIMA,Wheat,NA
19-01-09,AGARTALA,Wheat,NA
19-01-09,BENGALURU,Wheat,1700
19-01-09,T.PURAM,Wheat,NA
19-01-09,CHENNAI,Wheat,1540
19-01-09,HYDERABAD,Wheat,NA
20-01-09,CHANDIGARH,Wheat,NA
20-01-09,DELHI,Wheat,1180
20-01-09,SHIMLA,Wheat,NA
20-01-09,SRINAGAR,Wheat,NA
20-01-09,JAMMU,Wheat,NA
20-01-09,AMRITSAR,Wheat,NA
